plantCombinationName;;plantCombinationRank;plantCombinationList
I. Wasserpflanzengesellschaften;;FOR;I. Wasserpflanzengesellschaften
Lemnetea;De Bolòs et Masclans 1955;KLA;  Lemnetea
Lemna minor-Gesellschaft;;ASS;        Lemna minor-Gesellschaft
Lemnetalia minoris;De Bolòs et Masclans 1955;ORD;    Lemnetalia minoris
Lemnion gibbae;Tx. et Schwabe-Braun 1974;VRB;      Lemnion gibbae
Lemnetum gibbae;(W. Koch 1954) Miyawaki et J. Tx. 1960;ASS;        Lemnetum gibbae
Lemno-Spirodeletum polyrhizae;W. Koch 1954;ASS;        Lemno-Spirodeletum polyrhizae
Lemna turionifera-Gesellschaft;;ASS;        Lemna turionifera-Gesellschaft
Lemna minuta-Gesellschaft;;ASS;        Lemna minuta-Gesellschaft
Azolla filiculoides-Gesellschaft;;ASS;        Azolla filiculoides-Gesellschaft
Spirodelo-Salvinietum natantis;Slavnic 1956;ASS;        Spirodelo-Salvinietum natantis
Wolffietum arrhizae;Miyawaki et J. Tx. 1960;ASS;        Wolffietum arrhizae
Riccio-Lemnion trisulcae;Tx. et Schwabe-Braun in Tx. 1974;VRB;      Riccio-Lemnion trisulcae
Lemnetum trisulcae;R. Knapp et Stoffers 1962;ASS;        Lemnetum trisulcae
Riccietum fluitantis;Slavnic 1956;ASS;        Riccietum fluitantis
Ricciocarpetum natantis;Tx. 1974;ASS;        Ricciocarpetum natantis
Hydrocharitetalia;Rübel 1933;ORD;    Hydrocharitetalia
Hydrocharition;Rübel 1933;VRB;      Hydrocharition
Stratiotetum aloidis s.l.;Nowinski 1930;ASS;        Stratiotetum aloidis s.l.
Hydrocharitetum morsus-ranae;van Langendonck 1935;ZEH;          Hydrocharitetum morsus-ranae
Stratiotetum aloidis s.str.;Nowinski 1930;ZEH;          Stratiotetum aloidis s.str.
Lemno-Utricularietum vulgaris;Soó 1947;ASS;        Lemno-Utricularietum vulgaris
Utricularietum neglectae;Th. Müller et Görs 1960;ASS;        Utricularietum neglectae
Aldrovanda vesiculosa-Gesellschaft;;ASS;        Aldrovanda vesiculosa-Gesellschaft
Charetea fragilis;Fukarek ex Krausch 1964;KLA;  Charetea fragilis
Nitelletalia flexilis;W. Krause 1969;ORD;    Nitelletalia flexilis
Nitellion flexilis;(Corillion 1957) Dambska 1966;VRB;      Nitellion flexilis
Nitelletum flexilis;Corillion 1957;ASS;        Nitelletum flexilis
Charetum braunii;Corillion 1957;ASS;        Charetum braunii
Nitelletum capillaris;Corillion 1957;ASS;        Nitelletum capillaris
Nitelletum gracilis;Corillion 1957;ASS;        Nitelletum gracilis
Nitelletum translucentis;Corillion 1957;ASS;        Nitelletum translucentis
Chara delicatula-Gesellschaft;;ASS;        Chara delicatula-Gesellschaft
Nitellion syncarpo-tenuissimae;W. Krause 1969;VRB;      Nitellion syncarpo-tenuissimae
Nitelletum opacae s.l.;Corillion 1957;ASS;        Nitelletum opacae s.l.
Nitelletum opacae s.str.;Corillion 1957;ZEH;          Nitelletum opacae s.str.
Nitelletum mucronatae;Doll 1989;ZEH;          Nitelletum mucronatae
Nitelletum syncarpo-tenuissimae;W. Krause 1969;ASS;        Nitelletum syncarpo-tenuissimae
Charetalia hispidae;Sauer ex Krausch 1964;ORD;    Charetalia hispidae
Charion fragilis;Krausch 1964;VRB;      Charion fragilis
Charo-Tolypelletum glomeratae;Corillion 1957;ASS;        Charo-Tolypelletum glomeratae
Charetum asperae;Corillion 1957;ASS;        Charetum asperae
Charetum strigosae;Melzer 1976;ASS;        Charetum strigosae
Magnocharetum hispidae;Corillion 1957;ASS;        Magnocharetum hispidae
Charetum equisetinae;Schmidt 1981;ZEH;          Charetum equisetinae
Charetum intermediae;Dambska 1966;ASS;        Charetum intermediae
Charetum tomentosae;Corillion 1957;ASS;        Charetum tomentosae
Nitellopsidetum obtusae;Sauer ex Dambska 1961;ASS;        Nitellopsidetum obtusae
Charetum fragilis;Fijalkowski 1960;ASS;        Charetum fragilis
Charetum filiformis;Jeschke (1959) 1961;ASS;        Charetum filiformis
Charetum contrariae;Corillion 1957;ASS;        Charetum contrariae
Charion vulgaris;(W. Krause et Lang 1977) Krause 1981;VRB;      Charion vulgaris
Charetum vulgaris;Corillion 1957;ASS;        Charetum vulgaris
Charo-Tolypelletum intricatae;Corillion 1957;ASS;        Charo-Tolypelletum intricatae
Tolypelletum proliferae;Guerlesquin 1961;ASS;        Tolypelletum proliferae
Charion canescentis;Krausch 1964;VRB;      Charion canescentis
Charetum canescentis;Corillion 1957;ASS;        Charetum canescentis
Zosteretea;S. Pignatti 1953;KLA;  Zosteretea
Zosteretalia marinae;Beguinot 1941;ORD;    Zosteretalia marinae
Zosterion marinae;Christiansen 1934;VRB;      Zosterion marinae
Zosteretum marinae;Borgesen ex van Goor 1921;ASS;        Zosteretum marinae
Zosteretum noltii;Harmsen 1936;ASS;        Zosteretum noltii
Potamogetonetea;Klika in Klika et Novák 1941;KLA;  Potamogetonetea
Potamogetonetalia;W. Koch 1926;ORD;    Potamogetonetalia
Hippuris vulgaris-Gesellschaft;;ASS;        Hippuris vulgaris-Gesellschaft
Ranunculion fluitantis;Neuhäusl 1959;VRB;      Ranunculion fluitantis
Ranunculetum fluitantis;(Allorge 1922) W. Koch 1926;ASS;        Ranunculetum fluitantis
Ranunculo trichophylli-Sietum erecto-submersi;Th. Müller 1962;ASS;        Ranunculo trichophylli-Sietum erecto-submersi
Callitrichetum obtusangulae;Seibert 1962;ASS;        Callitrichetum obtusangulae
Callitricho hamulatae-Myriophylletum alterniflori;(Steusloff 1939) Weber-Oldecop 1967;ASS;        Callitricho hamulatae-Myriophylletum alterniflori
Veronico beccabungae-Callitrichetum stagnalis;Th. Müller 1962;ASS;        Veronico beccabungae-Callitrichetum stagnalis
Potamogetonetum colorati;Allorge 1922;ASS;        Potamogetonetum colorati
Groenlandietum densae;De Bolòs 1957;ASS;        Groenlandietum densae
