"soilTypeId";"soilTypeCode";"soilType";"soilTypeLabel"
"1";"A";"Auenböden";"Auenböden"
"23";"AB";"Vega";"  Vega"
"369";"AB_N";"Normvega";"    Normvega"
"370";"ABGG";"Vega-Gley";"    Vega-Gley"
"371";"ABRN";"Vega-Ranker";"    Vega-Ranker"
"372";"AO";"Rambla";"  Rambla"
"373";"AO_N";"Normrambla";"    Normrambla"
"374";"AOGG";"Rambla-Gley";"    Rambla-Gley"
"375";"AQ";"Paternia";"  Paternia"
"376";"AQ_N";"Normpaternia";"    Normpaternia"
"377";"AQAB";"Paternia-Vega";"    Paternia-Vega"
"378";"AQGG";"Paternia-Gley";"    Paternia-Gley"
"379";"AT";"Tschernitza";"  Tschernitza"
"380";"AT_N";"Normtschernitza";"    Normtschernitza"
"381";"ATGG";"Tschernitza-Gley";"    Tschernitza-Gley"
"382";"AZ";"Kalkpaternia";"  Kalkpaternia"
"383";"AZ_H";"Borowina (Humusreiche Auenpararendzina)";"    Borowina (Humusreiche Auenpararendzina)"
"384";"AZ_N";"Normkalkpaternia";"    Normkalkpaternia"
"385";"AZGG";"Kalkpaternia-Gley";"    Kalkpaternia-Gley"
"386";"B";"Braunerden";"Braunerden"
"387";"BB";"Braunerde";"  Braunerde"
"388";"BB_C";"Kalkbraunerde";"    Kalkbraunerde"
"389";"BB_H";"Humusbraunerde";"    Humusbraunerde"
"390";"BB_L";"Lockerbraunerde";"    Lockerbraunerde"
"391";"BB_N";"Normbraunerde";"    Normbraunerde"
"392";"BBCF";"Braunerde-Terra fusca";"    Braunerde-Terra fusca"
"393";"BBDD";"Braunerde-Pelosol";"    Braunerde-Pelosol"
"394";"BBGG";"Braunerde-Gley";"    Braunerde-Gley"
"395";"BBLF";"Braunerde-Fahlerde";"    Braunerde-Fahlerde"
"396";"BBLL";"Braunerde-Parabraunerde";"    Braunerde-Parabraunerde"
"397";"BBPP";"Braunerde-Podsol";"    Braunerde-Podsol"
"398";"BBRN";"Braunerde-Ranker";"    Braunerde-Ranker"
"399";"BBRQ";"Braunerde-Regosol";"    Braunerde-Regosol"
"400";"BBRR";"Braunerde-Rendzina";"    Braunerde-Rendzina"
"401";"BBRZ";"Braunerde-Pararendzina";"    Braunerde-Pararendzina"
"402";"BBSH";"Braunerde-Haftnässepseudogley";"    Braunerde-Haftnässepseudogley"
"403";"BBSS";"Braunerde-Pseudogley";"    Braunerde-Pseudogley"
"404";"BBTC";"Braunerde-Kalktschernosem";"    Braunerde-Kalktschernosem"
"405";"BBTT";"Braunerde-Tschernosem";"    Braunerde-Tschernosem"
"406";"BBYO";"Braunerde-Hortisol";"    Braunerde-Hortisol"
"407";"BBYY";"Braunerde-Rigosol";"    Braunerde-Rigosol"
"408";"C";"Terrae Calcis";"Terrae Calcis"
"409";"CF";"Terra fusca";"  Terra fusca"
"410";"CF_C";"Kalk-Terra fusca";"    Kalk-Terra fusca"
"411";"CF_N";"Norm-Terra fusca";"    Norm-Terra fusca"
"412";"CFLL";"Terra fusca-Parabraunerde";"    Terra fusca-Parabraunerde"
"413";"CFRN";"Terra fusca-Ranker";"    Terra fusca-Ranker"
"414";"CFRR";"Terra-fusca-Rendzina";"    Terra-fusca-Rendzina"
"415";"CFRZ";"Terra fusca-Pararendzina";"    Terra fusca-Pararendzina"
"416";"CFSS";"Terra fusca-Pseudogley";"    Terra fusca-Pseudogley"
"417";"CFYY";"Terra fusca-Rigosol";"    Terra fusca-Rigosol"
"418";"CR";"Terra rossa";"  Terra rossa"
